Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
567,-80.000000
568,0.000000
569,80.000000
570,160.000000
571,232.000000
572,304.000000
573,368.000000
574,424.000000
575,464.000000
576,496.000000
577,520.000000
578,528.000000
579,520.000000
580,496.000000
581,472.000000
582,424.000000
583,376.000000
584,312.000000
585,240.000000
586,168.000000
587,88.000000
588,8.000000
589,-72.000000
590,-152.000000
591,-232.000000
592,-304.000000
593,-360.000000
594,-416.000000
595,-456.000000
596,-488.000000
597,-504.000000
598,-512.000000
599,-504.000000
600,-488.000000
601,-456.000000
602,-416.000000
603,-360.000000
604,-296.000000
605,-232.000000
606,-152.000000
607,-72.000000
608,8.000000
609,88.000000
610,168.000000
611,240.000000
612,304.000000
613,376.000000
614,424.000000
615,464.000000
616,496.000000
617,520.000000
618,528.000000
619,520.000000
620,496.000000
621,464.000000
622,424.000000
623,376.000000
624,312.000000
625,240.000000
626,160.000000
627,80.000000
628,0.000000
629,-80.000000
630,-160.000000
631,-232.000000
632,-304.000000
633,-360.000000
634,-416.000000
635,-456.000000
636,-488.000000
637,-504.000000
638,-512.000000
639,-504.000000
640,-488.000000
641,-456.000000
642,-408.000000
643,-360.000000
644,-296.000000
645,-224.000000
646,-152.000000
647,-72.000000
648,8.000000
649,88.000000
650,168.000000
651,240.000000
652,312.000000
653,376.000000
654,424.000000
655,472.000000
656,504.000000
657,520.000000
658,528.000000
659,520.000000
660,496.000000
661,464.000000
662,424.000000
663,368.000000
664,304.000000
665,240.000000
666,160.000000
667,80.000000
668,0.000000
669,-72.000000
670,-152.000000
671,-232.000000
672,-296.000000
673,-360.000000
674,-408.000000
675,-456.000000
676,-488.000000
677,-504.000000
678,-512.000000
679,-504.000000
680,-488.000000
681,-456.000000
682,-416.000000
683,-360.000000
684,-304.000000
685,-232.000000
686,-152.000000
687,-72.000000
688,8.000000
689,88.000000
690,168.000000
691,240.000000
692,312.000000
693,376.000000
694,424.000000
695,472.000000
696,504.000000
697,520.000000
698,528.000000
699,520.000000
700,496.000000
701,464.000000
702,424.000000
703,376.000000
704,312.000000
705,240.000000
706,168.000000
707,88.000000
708,8.000000
709,-72.000000
710,-152.000000
711,-232.000000
712,-304.000000
713,-360.000000
714,-408.000000
715,-448.000000
716,-488.000000
717,-504.000000
718,-512.000000
719,-504.000000
720,-488.000000
721,-456.000000
722,-416.000000
723,-360.000000
724,-304.000000
725,-232.000000
726,-160.000000
727,-80.000000
728,8.000000
729,88.000000
730,168.000000
731,240.000000
732,304.000000
733,368.000000
734,424.000000
735,464.000000
736,496.000000
737,520.000000
738,528.000000
739,520.000000
740,504.000000
741,472.000000
742,432.000000
743,376.000000
744,312.000000
745,240.000000
746,168.000000
747,88.000000
748,8.000000
749,-72.000000
750,-152.000000
751,-224.000000
752,-296.000000
753,-360.000000
754,-416.000000
